character,wubi,pinyin
一,g gggg ggl ggll,yī
丁,sgh,dīng zhēng
七,ag agn,qī
万,dnv,wàn mò
丈,dyi,zhàng
三,dg dgg dggg,sān sàn
上,h hhg hhgg,shàng shǎng
下,gh ghi,xià
不,gi gii i,bù fǒu fōu
与,gn gng,yǔ yú yù
丐,ghn ghnv,gài
丑,nfd,chǒu
专,fny fnyi,zhuān
且,eg egd,qiě jū
丕,gigf,pī
世,an anv,shì
丘,rgd,qiū
丙,gmw gmwi,bǐng
业,og ogd,yè
丛,wwg,cóng
东,ai aii,dōng
丝,xxg,sī
丞,big bigf,chéng zhěng
丢,tfc tfcu,diū
两,gmww,liǎng liàng
严,god godr,yán
丧,fue fueu,sāng sàng
个,wh whj,gè gě
丫,uhk,yā
中,k kh khk,zhōng zhòng
丰,dh dhk,fēng
串,kkh kkhk,chuàn guàn
临,jty jtyj,lín lìn
丸,vyi,wán
丹,myd,dān
为,o yl yly ylyi,wéi wèi
主,y yg ygd,zhǔ
丽,gmy,lí lì
举,iwf,jǔ
乃,etn,nǎi
久,qy,jiǔ
乇,tav,tuō zhé nè zhè
么,tc tcu,mó me ma mo mǒ
义,yq yqi,yì
之,pp ppp pppp,zhī
乌,qng qngd,wū wù
乍,thf thfd,zhà zuò
乎,tuh tuhk,hū hú
乏,tpi,fá
乐,qi qii,lè yuè yào lào liáo luò
乒,rgt rgtr,pīng
乓,rgy,pāng pang
乔,tdj tdjj,qiáo jiāo
乖,tfux,guāi
乘,tux tuxv,chéng shèng
乙,nnl nnll,yǐ
九,vt vtn,jiǔ
乞,tnb,qǐ qì
也,bn bnhn,yě
习,nu nud,xí
乡,xte,xiāng xiǎng xiàng
书,nnh nnhy,shū
买,nudu,mǎi
乱,tdn,luàn
乳,ebn ebnn,rǔ
乾,fjt fjtn,qián gān
了,b bnh,liǎo le
予,cbj,yú yǔ
争,qv qvh qvhj,zhēng zhèng
事,gk gkv gkvh,shì
二,fg fgg,èr
于,gf gfk,yú wū yū
亏,fnv,kuī
云,fcu,yún
互,gx gxg gxgd,hù
五,gg ggh gghg,wǔ
井,fjk,jǐng
亘,gjg gjgf,gèn gèng
亚,gog gogd,yā yà
些,hxf hxff,xiē suò sā
亟,bkc bkcg,jí qì
亡,ynv,wáng wú
亢,ymb,kàng gāng
交,uq uqu,jiāo
亥,yntw,hài
亦,you,yì
产,u ut ute,chǎn
亨,ybj,hēng pēng xiǎng
亩,ylf,mǔ
享,ybf,xiǎng
京,yiu,jīng
亭,yps ypsj,tíng
亮,ypm ypmb,liàng
亲,us usu,qīn qìng xīn
亵,yrv yrve,xiè dié
人,w wwww,rén
亿,wn wnn,yì
什,wfh,shí shén
仁,wfg,rén
仅,wcy,jǐn jìn
仆,why,pū pú
仇,wvn,chóu qiú
今,wynb,jīn
介,wj wjj,jiè
仍,we wen,réng
从,ww wwy,cóng zòng cōng zōng
仑,wxb,lún
仓,wbb,cāng
仔,wbg,zī zǐ zǎi
仕,wfg,shì
他,wb wbn,tā
仗,wdyy,zhàng
付,wfy,fù
仙,wm wmh,xiān
代,wa way,dài
令,wyc wycu,líng lǐng lìng
以,c nyw,yǐ
仨,wdg,sā
仪,wyq,yí
们,wu wun,mén men
仰,wqbh,yǎng áng yàng
仲,wkhh,zhòng
件,wrh wrhh,jiàn
价,wwj wwjh,jià jie
任,wtf,rèn rén
份,wwv wwvn,fèn bīn
仿,wyn,fǎng páng
企,whf,qǐ
伊,wvt wvtt,yī
伍,wgg,wǔ
伏,wdy,fú
伐,wat,fá
休,ws wsy,xiū xǔ
众,www,zhòng
优,wdn,yōu
伙,wo woy,huǒ huo
会,wf wfc wfcu,huì kuài guì
伞,wuh wuhj,sǎn
伟,wfn wfnh,wěi
传,wfny,chuán zhuàn
伤,wtl wtln,shāng
伦,wwx wwxn,lún
伪,wyl wyly,wěi wèi
伫,wpg wpgg,zhù
伯,wr wrg,bó bǎi bà
估,wd wdg,gū gù gǔ
伴,wuf wufh,bàn pàn
伶,wwyc,líng
伸,wjh wjhh,shēn
伺,wng,sì cì
似,wny,sì shì
伽,wlk wlkg,qié jiā gā
佃,wl wlg,diàn tián
但,wjg,dàn
位,wug,wèi
低,wqa wqay,dī
住,wygg,zhù
佐,wda wdag,zuǒ
佑,wdk wdkg,yòu
体,wsg wsgg,tǐ tī
何,wsk wskg,hé hē hè
余,wtu,yú xú
佛,wxj wxjh,fó fú bì bó
作,wt wthf,zuò zuō zuó
你,wq wqi wqiy,nǐ
佣,weh,yōng yóng
佥,wgif,qiān
佩,wmg wmgh,pèi
佬,wft wftx,lǎo
佯,wudh,yáng
佳,wffg,jiā jia
佼,wuq wuqy,jiǎo jiāo
使,wgkq,shǐ shì
侃,wkq wkqn,kǎn
侄,wgcf,zhí
侈,wqq wqqy,chǐ
例,wgq wgqj,lì
侍,wff wffy,shì
供,waw,gōng gòng
依,wye wyey,yī yǐ
侠,wgu wguw,xiá
侣,wkk wkkg,lǚ
侥,watq,jiǎo yáo
侦,whm whmy,zhēn zhēng
侧,wmj wmjh,cè zè zhāi
侨,wtd,qiáo
侬,wpe wpey,nóng
侮,wtx wtxu,wǔ
侯,wnt wntd,hóu hòu
侵,wvp wvpc,qīn
便,wgj wgjq,biàn pián
促,wkh wkhy,cù
俄,wtr wtrt,é
俊,wcw wcwt,jùn
俏,wie wieg,qiào xiào
俐,wtj wtjh,lì
俗,wwwk,sú
俘,web webg,fú
保,wk wks wksy,bǎo
俞,wgej,yú yù shù
俟,wct wctd,sì qí
信,wy,xìn shēn
俨,wgo wgod,yǎn
俩,wgm wgmw,liǎng liǎ
俭,wwgi,jiǎn
修,wht,xiū
俯,wyw,fǔ
俱,whw whwy,jù
俺,wdjn,ǎn
倍,wuk wukg,bèi
倒,wgc wgcj,dǎo dào
倔,wnb wnbm,jué juè
倘,wim wimk,tǎng cháng
候,whn whnd,hòu
倚,wds wdsk,yǐ
借,waj wajg,jiè
倡,wjjg,chàng chāng
倦,wud wudb,juàn
倩,wgeg,qiàn qìng
倪,wvq,ní
倭,wtv wtvg,wō wēi wǒ
债,wgmy,zhài
值,wfhg,zhí zhì
倾,wxd wxdm,qīng
假,wnh wnhc,jiǎ jià xiá
